
SQLCODE=+012 , SQLSTATE=01545 未限定的列名被解释为一个有相互关系的引用 
SQLCODE=-128 , SQLSTATE=42601 SQL谓词中NULL使用不当 
SQLCODE=-129 , SQLSTATE=54004 SQL语句中包含的表多于15个 
SQLCODE=-130 , SQLSTATE=22019 ESCAPE语句必须为一个字符 ,SQLSTATE=22025无效的ESCAPE模式 
SQLCODE=-131 , SQLSTATE=42818 LIKE谓词只能用于字符数据 
SQLCODE=-132 , SQLSTATE=42824 LIKE语句、ESCAPE语句、LOCATE函数或POSSTR函数中有无效运算对象 
SQLCODE=-133 , SQLSTATE=42906 无效相关子查询引用 
SQLCODE=-134 , SQLSTATE=42907 大于255字节的列被不正确使用 
SQLCODE=-136 , SQLSTATE=54005 排序关键字的长度大于4000字节 
SQLCODE=-137 , SQLSTATE=54006 被连接的字符串太大；字符的最大值为32767；图形的最大值为16382 
SQLCODE=-138 , SQLSTATE=22011 SUBSTR列函数的第二个或第三个操作符无效 
SQLCODE=-142 , SQLSTATE=42612 不支持的SQL语句。该语句可能在另外的RDBMS上有效，也有可能在其他的上下文中有效（例如，VALUES只能在触发器中出现） 
SQLCODE=-144 , SQLSTATE=58003 指定的段号无效 
SQLCODE=-147 , SQLSTATE=42809 某一源函数不能更改。要改变源函数，必须删除该源函数并重新建立他 
SQLCODE=-148 , SQLSTATE=42809 RENAME和ALTER无法执行。
SQLCODE=-150 , SQLSTATE=42807 触发活动的INSERT，UPDATE或DELETE语句中指定了无效的视图更新或一个无效的转换表 
SQLCODE=-151 , SQLSTATE=42808 试图更新一个不可更新的视图的列、一个DB2 CATALOG表的列或者一个ROWID列 
SQLCODE=-152 , SQLSTATE=42809 DROP CHECK试图删除一个参照约束，或者DROP FOREIGN试图删除一个检查约束 
SQLCODE=-153 , SQLSTATE=42908 无效的视图建立请求，必须为旋转列表中列出的列出的未命名的列或者重复的列提供一个名字 
SQLCODE=-154 , SQLSTATE=42909 不能用UNION、UNION ALL或者一个远程表建立视图 
SQLCODE=-156 , SQLSTATE=42809 在视图上建立索引是非法的，或者在ALTER TABLE，CREATE TRIGGER，DROP TABLE或LOCK TABLE语句上指定一个不是表的其他对象这是无效的 
SQLCODE=-157 , SQLSTATE=42810 必须在FOREIGN KEY语句中指定一个表名 
SQLCODE=-158 , SQLSTATE=42811 视图的列和选择列表中的列不相匹配 
SQLCODE=-159 , SQLSTATE=42089 无效DROP或COMMENT ON语句 
SQLCODE=-160 , SQLSTATE=42813 对该视图的WITH CHECK OPTION无效 
SQLCODE=-161 , SQLSTATE=44000 正被更新的视图WITH CHECK OPTION语句使得这行不能被插入或更新 
SQLCODE=-164 , SQLSTATE=42502 用户没有建立这个视图的权限 
SQLCODE=-170 , SQLSTATE=42605 标量函数指定了无效的参数个数 
SQLCODE=-171 , SQLSTATE=42815 标量函数指定了无效的数据类型长度或者无效数值 
SQLCODE=-173 , SQLSTATE=42801 在非只读型的游标上不能指定隔离级别UR 
SQLCODE=-180 , SQLSTATE=22007 DATE、TIME、TIMESTAMP值的字符串表示法的语法不对 
SQLCODE=-181 , SQLSTATE=22001 不是有效的DATE、TIME、TIMESTAMP值 
SQLCODE=-182 , SQLSTATE=42816 在算术表达式中的日期/时间值无效 
SQLCODE=-183 , SQLSTATE=22008 在算术表达式中返回的日期/时间值的结果不在有效值的范围内 
SQLCODE=-184 , SQLSTATE=42610 没有正确使用日期/时间值的参数标记 
SQLCODE=-185 , SQLSTATE=57008 没有定义本定的日期/时间出口 
SQLCODE=-186 , SQLSTATE=22505 改变本定的日期/时间出口引发这个程序的长度无效 
SQLCODE=-187 , SQLSTATE=22506 MVS返回无效的当前日期/时间 
SQLCODE=-188 , SQLSTATE=22503 字符串表示无效 
SQLCODE=-189 , SQLSTATE=22522 指定的编码字符集的ID无效或没有定义 
SQLCODE=-190 , SQLSTATE=42837 不能象所设定的那样改变（ALTER）列。只能改变（ALTER）VARCHAR列的长度 
SQLCODE=-191 , SQLSTATE=22504 字符串中包含了无效的混合数据 
SQLCODE=-197 , SQLSTATE=42877 当两个或多个表被联合在一起排序时，限定的列名不能在ORDER BY语句中使用 
SQLCODE=-198 , SQLSTATE=42617 试图对空的字符串发布一个PREPARE或EXECUTE IMMEDIATE语句 
SQLCODE=-199 , SQLSTATE=42601 SQL语句中使用了非法关键词 
SQLCODE=-203 , SQLSTATE=42702 模糊列引用 
SQLCODE=-204 , SQLSTATE=42704 没有定义的对象名 
SQLCODE=-205 , SQLSTATE=42703 指定的表的列名无效 
SQLCODE=-206 , SQLSTATE=42703 列名没有在FROM语句所引用的任何表中，或者没有在定义触发器所在的表中 
SQLCODE=-208 , SQLSTATE=42707 不能ORDER BY指定列，应为该列不在选择列表中 
SQLCODE=-212 , SQLSTATE=42712 指定的表名在触发器中不允许多次使用，只能使用一次 
SQLCODE=-214 , SQLSTATE=42822 DISTINCT、ORDER BY 引起的无效表达式 
SQLCODE=-219 , SQLSTATE=42704 因为PLAN_TABLE不存在，EXPLAIN无法执行 
SQLCODE=-220 , SQLSTATE=55002 遇到无效的PLAN_TABLE列 
SQLCODE=-221 , SQLSTATE=55002 如果为PLAN_TABLE定义了可供选择的列，那么，必须定义所有的列 
SQLCODE=-229 , SQLSTATE=42708 指定的现场找不到 
SQLCODE=-240 , SQLSTATE=428B4 LOCK TABLE语句的PART子句无效 
SQLCODE=-250 , SQLSTATE=42718 没有定义本地位置名 
SQLCODE=-251 , SQLSTATE=42602 记号无效 


SQLCODE=-300 , SQLSTATE=22024 宿主变量或参数中的字符串不是以NULL为终止 
SQLCODE=-301 , SQLSTATE=42895 无效的宿主变量数据类型 
SQLCODE=-302 , SQLSTATE=22001 输入的变量值对指定的列无效 ,SQLSTATE=22003 输入的变量值对指定的列而言太大 
SQLCODE=-303 , SQLSTATE=42806 因为数据类型不兼容，不能分配数值 
SQLCODE=-304 , SQLSTATE=22003 因为数据超出了范围，不能分配数值 
SQLCODE=-305 , SQLSTATE=22002 没有NULL指示符变量 
SQLCODE=-309 , SQLSTATE=22512 因为引用的宿主变量被设置成NULL，所以谓词无效 
SQLCODE=-310 , SQLSTATE=22501 十进制的宿主变量或参数包含非十进制数据 
SQLCODE=-311 , SQLSTATE=22501 输入的宿主变量长度无效，或者时负值或者太大 
SQLCODE=-312 , SQLSTATE=42618 没有定义宿主变量或者宿主变量不可用 
SQLCODE=-313 , SQLSTATE=07001 宿主变量的个数不等于参数标识的个数 
SQLCODE=-314 , SQLSTATE=42714 模糊的宿主变量引用 
SQLCODE=-327 , SQLSTATE=22525 在最后分区的关键字范围内，不能插入行 
SQLCODE=-330 , SQLSTATE=22021 不能成功的翻译字符串 
SQLCODE=-331 , SQLSTATE=22021 字符串不能分配到宿主变量，因为其不能成功的被翻译 
SQLCODE=-332 , SQLSTATE=57017 不能为两个命名的编码字符集的ID定义翻译规则 
SQLCODE=-333 , SQLSTATE=56010 子类型无效导致翻译失败 
SQLCODE=-338 , SQLSTATE=42972 ON语句无效，必须引用连接的列 
SQLCODE=-339 , SQLSTATE=56082 访问DB2 2.2版本的子系统被拒绝，原因时ASCII到EBCDIC翻译不能进行 
SQLCODE=-350 , SQLSTATE=42962 无效的大对象规范 
SQLCODE=-351 , SQLSTATE=56084 SELECT列表中有不支持的数据类型 
SQLCODE=-352 , SQLSTATE=56084 输入列表中有不支持的数据类型 
SQLCODE=-355 , SQLSTATE=42993 LOB列太大，以至不能被记录在日志中 
SQLCODE=-372 , SQLSTATE=428C1 每个表只允许有一个ROWID列 
SQLCODE=-390 , SQLSTATE=42887 在上下文中指定的函数无效 
SQLCODE=-392 , SQLSTATE=42855 自从前一次FETCH以来，指定游标的SQLDA已被不恰当的改变 
SQLCODE=-396 , SQLSTATE=38505 在最后的访问过程中，视图执行SQL语句 
SQLCODE=-397 , SQLSTATE=428D3 在某一列上不恰当的指定了GENERATED因为该列不是ROWID数据类型 
SQLCODE=-398 , SQLSTATE=428D2 为某一个宿主变量请求LOCATOR，但是该宿主变量不是一个LOB 
SQLCODE=-399 , SQLSTATE=22511 在INSERT语句中为ROWID列指定的值无效 


SQLCODE=-400 , SQLSTATE=54027 在DB2编目中定义的用户自定义索引不能超过100个 
SQLCODE=-401 , SQLSTATE=42818 算术操作符或比较操作符的操作对象不是兼容的 
SQLCODE=-402 , SQLSTATE=42819 算术函数不能用于字符或日期时间数据 
SQLCODE=-404 , SQLSTATE=22001 SQL语句指定的字符串太长 
SQLCODE=-405 , SQLSTATE=42820 数值文字超出了范围 
SQLCODE=-406 , SQLSTATE=22003 计算出的或者倒出的数值超出了范围 
SQLCODE=-407 , SQLSTATE=23502 不能把NULL值插到定义为NOT NULL的列中 
SQLCODE=-408 , SQLSTATE=42821 数值不能被更新或插入，因为他与列的数据类型不兼容 
SQLCODE=-409 , SQLSTATE=42607 COUNT函数指定的运算对象无效 
SQLCODE=-410 , SQLSTATE=42820 浮点文字笔30个字符的最大允许长度长 
SQLCODE=-411 , SQLSTATE=56040 CURRENT SQLID使用无效 
SQLCODE=-412 , SQLSTATE=42823 在子查询的选择列表中遇到了多个列 
SQLCODE=-413 , SQLSTATE=22003 当转换为一个数字型数据类型时，数据溢出 
SQLCODE=-414 , SQLSTATE=42824 LIKE谓词不能运行于用数字或日期时间类型定义的列 
SQLCODE=-415 , SQLSTATE=42825 为UNION操作指定的选择列表不是联合兼容的 
SQLCODE=-416 , SQLSTATE=42907 包含UNION操作符的SQL语句不允许有长的字符串列 
SQLCODE=-417 , SQLSTATE=42609 两参数标识符作为运算对象被指定在同一谓词的两边 
SQLCODE=-418 , SQLSTATE=42610 参数标识符使用无效 
SQLCODE=-419 , SQLSTATE=42911 十进制除法无效 
SQLCODE=-420 , SQLSTATE=22018 字符串自变量值不符合函数的要求 
SQLCODE=-421 , SQLSTATE=42826 UNION操作的选择列表中没有提供相同数目的列 
SQLCODE=-423 , SQLSTATE=0F001 为LOB或结果集定位器指定的值无效 
SQLCODE=-426 , SQLSTATE=2D528 在不允许更新的应用服务器不允许执行COMMIT语句 
SQLCODE=-427 , SQLSTATE=2D529 在不允许更新的应用服务器不允许执行ROLLBACK语句 
SQLCODE=-430 , SQLSTATE=38503 在用户自定义的函数或存储过程中遇到了错误 
SQLCODE=-433 , SQLSTATE=22001 指定的值太长 
SQLCODE=-435 , SQLSTATE=428B3 无效的应用定义的SQLSTATE 
SQLCODE=-438 , SQLSTATE=xxxxx 使用了RAISE_ERROR函数的应用发出了一个错误 
SQLCODE=-440 , SQLSTATE=42884 存储过程或用户自定义函数的参数列表参数个数于预期的个数不匹配 
SQLCODE=-441 , SQLSTATE=42601 与标量函数一起使用DISTINCT或ALL是不正确的用法 
SQLCODE=-443 , SQLSTATE=42601 指定的外部函数返回错误的SQLSTATE 
SQLCODE=-444 , SQLSTATE=42724 与被称为存储过程或用户自定义函数有关的程序不能找到 
SQLCODE=-449 , SQLSTATE=42878 对存储过程或用户自定义的 函数，CREATE或ALTER语句不正确（缺失EXTERNAL NAME 子句) 
SQLCODE=-450 , SQLSTATE=39501 存储过程或用户自定义函数写入存储器的值超过了参数声明的长度 
SQLCODE=-451 , SQLSTATE=42815 CREATE FUNCTION中指定了不正确的数据类型 
SQLCODE=-453 , SQLSTATE=42880 用户自定义函数中的RETURNS语句无效 
SQLCODE=-454 , SQLSTATE=42723 指定的函数识别标记与已存在的另一函数的识别标记冲突 
SQLCODE=-455 , SQLSTATE=42882 模式名不比配 
SQLCODE=-456 , SQLSTATE=42710 为用户自定义函数指定的函数名已经存在 
SQLCODE=-457 , SQLSTATE=42939 用户自定义函数或用户自定义类型正试图使用系统中定义的函数或者类型所用的名称 
SQLCODE=-458 , SQLSTATE=42883 没有找到函数 
SQLCODE=-463 , SQLSTATE=39001 特定的外部例程返回无效的SQLSTATE 
SQLCODE=-469 , SQLSTATE=42886 参数定义为OUT或INOUT的CALL语句必须提供宿主变量 
SQLCODE=-470 , SQLSTATE=39002 指定了NULL参数，但是该例程却不支持NULL 
SQLCODE=-471 , SQLSTATE=55023 存储过程或用户自定义函数失败：提供原因代码 
SQLCODE=-472 , SQLSTATE=24517 外部的函数程序使游标处于打开状态 
SQLCODE=-473 , SQLSTATE=42918 用户自定义数据类型命名不能和系统定义的数据类型一样 
SQLCODE=-475 , SQLSTATE=42866 结果类型不能被转换成RETURNS类型 
SQLCODE=-476 , SQLSTATE=42725 在其模式中该函数不是独一无二的 
SQLCODE=-478 , SQLSTATE=42893 不能DROP或REVOKE特定的对象，因为其他对象依赖于该对象 
SQLCODE=-480 , SQLSTATE=51030 直到存储过程已经被CALL后，DESCRIBE PROCEDURE和ASSOCIATE LOCATORS才能被发布 
SQLCODE=-482 , SQLSTATE=51030 存储过程不返回到任何一个定位器 
SQLCODE=-483 , SQLSTATE=42885 CREATE FUNCTION语句中的参数个数与源函数中的参数个数不匹配 
SQLCODE=-487 , SQLSTATE=38001 选择了NO SQL选项建立指定的存储过程或用户自定义函数，但却视图发布SQL语句 
SQLCODE=-491 , SQLSTATE=42601 CREATE FUNCTION语句无效，因为该语句没有RETURNS语句或者因为该语句没有指定有效的SOURCE或者EXTERNAL语句 
SQLCODE=-492 , SQLSTATE=42879 指定函数的指定参数的个数有错误 
SQLCODE=-495 , SQLSTATE=57051 语句的估计处理器成本超出了资源限制 
SQLCODE=-496 , SQLSTATE=51033 语句无法执行，因为当前服务器与调用存储过程的服务器不同 
SQLCODE=-497 , SQLSTATE=54041 指定的数据库超过了32767 OBID的上限，或者CREATE DATABASE语句使之达到了32511DBID的上限 
SQLCODE=-499 , SQLSTATE=24516 指定的游标已被分配到结果集，该结果集来自已经指定的存储过程 

SQLCODE=-500 , SQLSTATE=24501 因为连接被破坏，WITH HOLD游标被关闭 
SQLCODE=-501 , SQLSTATE=24501 在试图获取数据或关闭一个游标前必须打开一个游标 
SQLCODE=-502 , SQLSTATE=24502 在没有关闭游标前不能再次打开游标 
SQLCODE=-503 , SQLSTATE=42912 因为列在游标的FOR UPDATE OF语句中没有被指定，该游标用于获取该列，所以不能更新该列 
SQLCODE=-504 , SQLSTATE=34000 不能引用一个游标，因为他不是定义到程序里的 
SQLCODE=-507 , SQLSTATE=24501 在试图更新或者删除WHERE CURRENT OF前，必须打开游标 
SQLCODE=-508 , SQLSTATE=24504 因为被引用的游标当前不是处于数据行上，所以不能被更新或删除 
SQLCODE=-509 , SQLSTATE=42827 除了在游标上指定的那个表（该表由WHERE CURRENT OF语句引用的）以外，再也不能从别的表上更新数据 
SQLCODE=-510 , SQLSTATE=42828 表或视图不能被修改 
SQLCODE=-511 , SQLSTATE=42829 对不可修改的表或视图，FOR UPDATE OF语句无效 
SQLCODE=-512 , SQLSTATE=56023 对远程对象的无效引用 
SQLCODE=-513 , SQLSTATE=42924 一个别名不能再被定义成另外的别名 
SQLCODE=-514 , SQLSTATE=26501 游标尚没有被准备 
SQLCODE=-516 , SQLSTATE=26501 试图描述未准备好的SQL语句 
SQLCODE=-517 , SQLSTATE=07005 因为SQL语句尚没有准备好，游标无效 
SQLCODE=-518 , SQLSTATE=07003 试图执行尚没有准备好的SQL语句 
SQLCODE=-519 , SQLSTATE=24506 当为游标的SQL语句发布一个准备语句是，游标不能是打开的 
SQLCODE=-525 , SQLSTATE=51015 不能在已指定的程序包中执行SQL语句，因为在绑定时间内该程序包无效 
SQLCODE=-526 , SQLSTATE=42995 在给定的上下文中，不能使用全局的临时表 
SQLCODE=-530 , SQLSTATE=23503 对特定的约束名指定了无效的外健值 
SQLCODE=-532 , SQLSTATE=23504 删除操作违反了已指定的参照约束 
SQLCODE=-533 , SQLSTATE=21501 多行插入无效，试图将多行插到自我引用的表中 
SQLCODE=-534 , SQLSTATE=21502 可改变主健列值的更新语句不能在同一时刻用于更新多行 
SQLCODE=-535 , SQLSTATE=21502 当从自我引用表中删除数据或者更新主健列时，不能指定WHERE CURRENT OF。不是版本5的子系统才调用该代码 
SQLCODE=-536 , SQLSTATE=42914 因为某一特定表的参照约束存在，所以删除语句无效 
SQLCODE=-537 , SQLSTATE=42709 在外健语句或主健语句的规范中，每个列的出现不能多于一次 
SQLCODE=-538 , SQLSTATE=42830 无效的外健；不符合引用的表没有主健 
SQLCODE=-539 , SQLSTATE=42888 不能定义外健，因为被引用的表没有主健 
SQLCODE=-540 , SQLSTATE=57001 表定义不完整，直到为主健建立了唯一索引或UNIQUE语句、或者包含GENERATED BYDEFAULT属性的ROWID列 
SQLCODE=-542 , SQLSTATE=42831 可以为空的列不允许作为主健的一部分包含在内 
SQLCODE=-543 , SQLSTATE=23511 因为该表是指定了SET NULL删除规则的参照约束的父表而且检查约束不允许NULL，所以DELETE不能发生 
SQLCODE=-544 , SQLSTATE=23512 不能用ALTER添加检查约束，因为已存在的某行与该检查约束冲突 
SQLCODE=-545 , SQLSTATE=23513 INSERT或者UPDATE导致检查约束冲突 
SQLCODE=-546 , SQLSTATE=42621 在CREATE或ALTER TABLE中指定的检查约束无效 
SQLCODE=-548 , SQLSTATE=42621 因为指定的列而引起的检查约束无效 
SQLCODE=-549 , SQLSTATE=42509 DYNAMICRULES（BIND）计划或程序包的无效SQL语句 
SQLCODE=-551 , SQLSTATE=42501 用户试图对不拥有权限的特定的对象进行操作，或者表不存在 
SQLCODE=-552 , SQLSTATE=42502 用户试图执行未被授权的操作 
SQLCODE=-553 , SQLSTATE=42503 不能指定CURRENT SQLID，因为用户尚没有被允许改变那个ID 
SQLCODE=-554 , SQLSTATE=42502 不能对你本身赋予一个权限 
SQLCODE=-555 , SQLSTATE=42502 不能对你本身撤销一个权限 
SQLCODE=-556 , SQLSTATE=42504 不能撤销用户没有拥有的权限 
SQLCODE=-557 , SQLSTATE=42852 指定了不一致的授予或撤销关键词 
SQLCODE=-558 , SQLSTATE=56025 为授予或撤销语句指定了无效的语句（一个或一组） 
SQLCODE=-559 , SQLSTATE=57002 DB2权限机制已经禁用，授予或者撤销不能被发布 
SQLCODE=-567 , SQLSTATE=42501 指定的权限ID缺少对指定的程序包的绑定权限 
SQLCODE=-571 , SQLSTATE=25000 不允许多点更新 
SQLCODE=-573 , SQLSTATE=42890 不能定义参照约束，因为已指定的父表中在指定的列上没有唯一健 
SQLCODE=-574 , SQLSTATE=42864 指定的缺省与列定义冲突 
SQLCODE=-577 , SQLSTATE=38002 试图修改用户自定义函数中的数据或者存储过程中的数据，但这些对象的建立没有选择MODIFIES SQL DATA选项 
SQLCODE=-579 , SQLSTATE=38004 试图修改用户自定义函数中的数据或者存储过程中的数据，但这些对象的建立没有选择READ SQL DATA选项，也没有选择MODIFIES SQL DATA选项 
SQLCODE=-580 , SQLSTATE=42625 CASE表达式中的结果表达式不能都是空的 
SQLCODE=-581 , SQLSTATE=42804 CASE表达式中的结果表达式为不兼容的数据类型 
SQLCODE=-582 , SQLSTATE=42625 SEARCHED－WHEN－CLAUSE中的查找条件指定了一个限定的、IN或EXISTS谓词 
SQLCODE=-583 , SQLSTATE=42845 指定的函数失败，因为他不是决定性的，或者可能有外部动作 
SQLCODE=-585 , SQLSTATE=42732 在当前路径中模式名不止一次出现 
